bin,lo,hi,n,fraction,accuracy,confidence,model_id,benchmark,method,seed
0.0,0.0,0.06666666666666667,0.0,0.0,,,mistralai/Mistral-7B-Instruct-v0.3,FEVER,vanilla_mc,1
1.0,0.06666666666666667,0.13333333333333333,0.0,0.0,,,mistralai/Mistral-7B-Instruct-v0.3,FEVER,vanilla_mc,1
2.0,0.13333333333333333,0.2,0.0,0.0,,,mistralai/Mistral-7B-Instruct-v0.3,FEVER,vanilla_mc,1
3.0,0.2,0.26666666666666666,0.0,0.0,,,mistralai/Mistral-7B-Instruct-v0.3,FEVER,vanilla_mc,1
4.0,0.26666666666666666,0.3333333333333333,0.0,0.0,,,mistralai/Mistral-7B-Instruct-v0.3,FEVER,vanilla_mc,1
5.0,0.3333333333333333,0.4,0.0,0.0,,,mistralai/Mistral-7B-Instruct-v0.3,FEVER,vanilla_mc,1
6.0,0.4,0.4666666666666667,10.0,0.03333333333333333,0.4,0.42685413658618926,mistralai/Mistral-7B-Instruct-v0.3,FEVER,vanilla_mc,1
7.0,0.4666666666666667,0.5333333333333333,66.0,0.22,0.2878787878787879,0.5111430987264171,mistralai/Mistral-7B-Instruct-v0.3,FEVER,vanilla_mc,1
8.0,0.5333333333333333,0.6,97.0,0.3233333333333333,0.35051546391752575,0.562934550427899,mistralai/Mistral-7B-Instruct-v0.3,FEVER,vanilla_mc,1
9.0,0.6,0.6666666666666666,63.0,0.21,0.2857142857142857,0.6303661541333274,mistralai/Mistral-7B-Instruct-v0.3,FEVER,vanilla_mc,1
10.0,0.6666666666666666,0.7333333333333333,37.0,0.12333333333333334,0.4594594594594595,0.6957797198682218,mistralai/Mistral-7B-Instruct-v0.3,FEVER,vanilla_mc,1
11.0,0.7333333333333333,0.8,18.0,0.06,0.3888888888888889,0.7513430085447099,mistralai/Mistral-7B-Instruct-v0.3,FEVER,vanilla_mc,1
12.0,0.8,0.8666666666666667,3.0,0.01,0.6666666666666666,0.8314836422602335,mistralai/Mistral-7B-Instruct-v0.3,FEVER,vanilla_mc,1
13.0,0.8666666666666667,0.9333333333333333,6.0,0.02,0.6666666666666666,0.8884314000606537,mistralai/Mistral-7B-Instruct-v0.3,FEVER,vanilla_mc,1
14.0,0.9333333333333333,1.0,0.0,0.0,,,mistralai/Mistral-7B-Instruct-v0.3,FEVER,vanilla_mc,1
0.0,0.0,0.06666666666666667,0.0,0.0,,,mistralai/Mistral-7B-Instruct-v0.3,HaluEval-QA,vanilla_mc,1
1.0,0.06666666666666667,0.13333333333333333,0.0,0.0,,,mistralai/Mistral-7B-Instruct-v0.3,HaluEval-QA,vanilla_mc,1
2.0,0.13333333333333333,0.2,0.0,0.0,,,mistralai/Mistral-7B-Instruct-v0.3,HaluEval-QA,vanilla_mc,1
3.0,0.2,0.26666666666666666,0.0,0.0,,,mistralai/Mistral-7B-Instruct-v0.3,HaluEval-QA,vanilla_mc,1
4.0,0.26666666666666666,0.3333333333333333,0.0,0.0,,,mistralai/Mistral-7B-Instruct-v0.3,HaluEval-QA,vanilla_mc,1
5.0,0.3333333333333333,0.4,0.0,0.0,,,mistralai/Mistral-7B-Instruct-v0.3,HaluEval-QA,vanilla_mc,1
6.0,0.4,0.4666666666666667,0.0,0.0,,,mistralai/Mistral-7B-Instruct-v0.3,HaluEval-QA,vanilla_mc,1
7.0,0.4666666666666667,0.5333333333333333,37.0,0.12333333333333334,0.40540540540540543,0.5162194129582998,mistralai/Mistral-7B-Instruct-v0.3,HaluEval-QA,vanilla_mc,1
8.0,0.5333333333333333,0.6,67.0,0.22333333333333333,0.23880597014925373,0.5631179524891412,mistralai/Mistral-7B-Instruct-v0.3,HaluEval-QA,vanilla_mc,1
9.0,0.6,0.6666666666666666,31.0,0.10333333333333333,0.41935483870967744,0.639661721644863,mistralai/Mistral-7B-Instruct-v0.3,HaluEval-QA,vanilla_mc,1
10.0,0.6666666666666666,0.7333333333333333,32.0,0.10666666666666667,0.625,0.6989014577120543,mistralai/Mistral-7B-Instruct-v0.3,HaluEval-QA,vanilla_mc,1
11.0,0.7333333333333333,0.8,72.0,0.24,0.7777777777777778,0.7699168423811594,mistralai/Mistral-7B-Instruct-v0.3,HaluEval-QA,vanilla_mc,1
12.0,0.8,0.8666666666666667,54.0,0.18,0.9259259259259259,0.826926675107744,mistralai/Mistral-7B-Instruct-v0.3,HaluEval-QA,vanilla_mc,1
13.0,0.8666666666666667,0.9333333333333333,7.0,0.023333333333333334,1.0,0.8824754527636937,mistralai/Mistral-7B-Instruct-v0.3,HaluEval-QA,vanilla_mc,1
14.0,0.9333333333333333,1.0,0.0,0.0,,,mistralai/Mistral-7B-Instruct-v0.3,HaluEval-QA,vanilla_mc,1
0.0,0.0,0.06666666666666667,0.0,0.0,,,mistralai/Mistral-7B-Instruct-v0.3,TruthfulQA-MC1,vanilla_mc,1
1.0,0.06666666666666667,0.13333333333333333,0.0,0.0,,,mistralai/Mistral-7B-Instruct-v0.3,TruthfulQA-MC1,vanilla_mc,1
