bin,lo,hi,n,fraction,accuracy,confidence,model_id,benchmark,method,seed
0.0,0.0,0.06666666666666667,202.0,0.6733333333333333,0.0,0.0,Qwen/Qwen2.5-7B-Instruct,FEVER,dola_custom_gen,1
1.0,0.06666666666666667,0.13333333333333333,0.0,0.0,,,Qwen/Qwen2.5-7B-Instruct,FEVER,dola_custom_gen,1
2.0,0.13333333333333333,0.2,0.0,0.0,,,Qwen/Qwen2.5-7B-Instruct,FEVER,dola_custom_gen,1
3.0,0.2,0.26666666666666666,0.0,0.0,,,Qwen/Qwen2.5-7B-Instruct,FEVER,dola_custom_gen,1
4.0,0.26666666666666666,0.3333333333333333,0.0,0.0,,,Qwen/Qwen2.5-7B-Instruct,FEVER,dola_custom_gen,1
5.0,0.3333333333333333,0.4,0.0,0.0,,,Qwen/Qwen2.5-7B-Instruct,FEVER,dola_custom_gen,1
6.0,0.4,0.4666666666666667,0.0,0.0,,,Qwen/Qwen2.5-7B-Instruct,FEVER,dola_custom_gen,1
7.0,0.4666666666666667,0.5333333333333333,0.0,0.0,,,Qwen/Qwen2.5-7B-Instruct,FEVER,dola_custom_gen,1
8.0,0.5333333333333333,0.6,0.0,0.0,,,Qwen/Qwen2.5-7B-Instruct,FEVER,dola_custom_gen,1
9.0,0.6,0.6666666666666666,0.0,0.0,,,Qwen/Qwen2.5-7B-Instruct,FEVER,dola_custom_gen,1
10.0,0.6666666666666666,0.7333333333333333,0.0,0.0,,,Qwen/Qwen2.5-7B-Instruct,FEVER,dola_custom_gen,1
11.0,0.7333333333333333,0.8,0.0,0.0,,,Qwen/Qwen2.5-7B-Instruct,FEVER,dola_custom_gen,1
12.0,0.8,0.8666666666666667,0.0,0.0,,,Qwen/Qwen2.5-7B-Instruct,FEVER,dola_custom_gen,1
13.0,0.8666666666666667,0.9333333333333333,0.0,0.0,,,Qwen/Qwen2.5-7B-Instruct,FEVER,dola_custom_gen,1
14.0,0.9333333333333333,1.0,98.0,0.32666666666666666,0.3673469387755102,1.0,Qwen/Qwen2.5-7B-Instruct,FEVER,dola_custom_gen,1
0.0,0.0,0.06666666666666667,0.0,0.0,,,Qwen/Qwen2.5-7B-Instruct,FEVER,vanilla_custom_gen,1
1.0,0.06666666666666667,0.13333333333333333,0.0,0.0,,,Qwen/Qwen2.5-7B-Instruct,FEVER,vanilla_custom_gen,1
2.0,0.13333333333333333,0.2,0.0,0.0,,,Qwen/Qwen2.5-7B-Instruct,FEVER,vanilla_custom_gen,1
3.0,0.2,0.26666666666666666,0.0,0.0,,,Qwen/Qwen2.5-7B-Instruct,FEVER,vanilla_custom_gen,1
4.0,0.26666666666666666,0.3333333333333333,0.0,0.0,,,Qwen/Qwen2.5-7B-Instruct,FEVER,vanilla_custom_gen,1
5.0,0.3333333333333333,0.4,0.0,0.0,,,Qwen/Qwen2.5-7B-Instruct,FEVER,vanilla_custom_gen,1
6.0,0.4,0.4666666666666667,0.0,0.0,,,Qwen/Qwen2.5-7B-Instruct,FEVER,vanilla_custom_gen,1
7.0,0.4666666666666667,0.5333333333333333,0.0,0.0,,,Qwen/Qwen2.5-7B-Instruct,FEVER,vanilla_custom_gen,1
8.0,0.5333333333333333,0.6,0.0,0.0,,,Qwen/Qwen2.5-7B-Instruct,FEVER,vanilla_custom_gen,1
9.0,0.6,0.6666666666666666,0.0,0.0,,,Qwen/Qwen2.5-7B-Instruct,FEVER,vanilla_custom_gen,1
10.0,0.6666666666666666,0.7333333333333333,0.0,0.0,,,Qwen/Qwen2.5-7B-Instruct,FEVER,vanilla_custom_gen,1
11.0,0.7333333333333333,0.8,0.0,0.0,,,Qwen/Qwen2.5-7B-Instruct,FEVER,vanilla_custom_gen,1
12.0,0.8,0.8666666666666667,0.0,0.0,,,Qwen/Qwen2.5-7B-Instruct,FEVER,vanilla_custom_gen,1
13.0,0.8666666666666667,0.9333333333333333,0.0,0.0,,,Qwen/Qwen2.5-7B-Instruct,FEVER,vanilla_custom_gen,1
