model_id,benchmark,baseline,method,mean_delta_accuracy,std_delta_accuracy,ci_low,ci_high,n_pairs
Qwen/Qwen2.5-7B-Instruct,FEVER,vanilla_mc,iga_v2_lowrank_mc,0.2311111111111111,0.7336871765738051,0.18317688224162249,0.2790453399805997,900
Qwen/Qwen2.5-7B-Instruct,FEVER,vanilla_mc,lora_mc,0.30333333333333334,0.7808825331569045,0.2523156745004156,0.3543509921662511,900
Qwen/Qwen2.5-7B-Instruct,FEVER,vanilla_mc,self_consistency_mc,0.17666666666666667,0.6694592973693474,0.13292865923853597,0.22040467409479736,900
Qwen/Qwen2.5-7B-Instruct,FEVER,vanilla_mc,semantic_entropy_mc,0.17666666666666667,0.6694592973693474,0.13292865923853597,0.22040467409479736,900
Qwen/Qwen2.5-7B-Instruct,FEVER,vanilla_mc,temperature_mc,0.0,0.0,0.0,0.0,900
Qwen/Qwen2.5-7B-Instruct,HaluEval-QA,vanilla_mc,iga_v2_lowrank_mc,0.38222222222222224,0.5743067161173384,0.34470085010255613,0.41974359434188835,900
Qwen/Qwen2.5-7B-Instruct,HaluEval-QA,vanilla_mc,lora_mc,0.43,0.5064544469005253,0.396911642802499,0.46308835719750097,900
Qwen/Qwen2.5-7B-Instruct,HaluEval-QA,vanilla_mc,self_consistency_mc,0.1,0.3846324972662625,0.07487067684527085,0.12512932315472916,900
Qwen/Qwen2.5-7B-Instruct,HaluEval-QA,vanilla_mc,semantic_entropy_mc,0.1,0.3846324972662625,0.07487067684527085,0.12512932315472916,900
Qwen/Qwen2.5-7B-Instruct,HaluEval-QA,vanilla_mc,temperature_mc,0.0,0.0,0.0,0.0,900
Qwen/Qwen2.5-7B-Instruct,TruthfulQA-MC1,vanilla_mc,iga_v2_lowrank_mc,0.049217002237136466,0.24566750813513194,0.026442440388626202,0.07199156408564673,447
Qwen/Qwen2.5-7B-Instruct,TruthfulQA-MC1,vanilla_mc,lora_mc,0.4451901565995526,0.5407335136808966,0.3950615541467045,0.49531875905240064,447
Qwen/Qwen2.5-7B-Instruct,TruthfulQA-MC1,vanilla_mc,self_consistency_mc,0.28187919463087246,0.5283089645793977,0.23290240775225285,0.3308559815094921,447
Qwen/Qwen2.5-7B-Instruct,TruthfulQA-MC1,vanilla_mc,semantic_entropy_mc,0.28187919463087246,0.5283089645793977,0.23290240775225285,0.3308559815094921,447
Qwen/Qwen2.5-7B-Instruct,TruthfulQA-MC1,vanilla_mc,temperature_mc,0.0,0.0,0.0,0.0,447
