n,accuracy,hallucination_rate,accuracy_ci_low_bootstrap_examples,accuracy_ci_high_bootstrap_examples,ece,brier,parse_success_rate,refusal_rate,answer_rate,mean_latency_s,tokens_per_second,iga_gamma_mean,iga_gamma_max,iga_gate_mean,iga_gate_max,iga_pattern_mean,iga_active_heads,error_rate,model_id,benchmark,method,seed,evaluation_mode
300.0,0.57,0.43000000000000005,0.5133333333333333,0.6266666666666667,0.19767389088869095,0.28202448228603105,,0.0,1.0,0.22237457076708475,0.0,0.45030883462727067,8.45832545566559,0.2851397402584553,1.3424828437964123,41.402086343288424,28.0,0.0,Qwen/Qwen2.5-7B-Instruct,FEVER,iga_v2_lowrank_mc,1,choice
300.0,0.49666666666666665,0.5033333333333334,0.44,0.5533333333333333,0.2721053333083788,0.32875611831010154,,0.0,1.0,0.22441771378119788,0.0,0.5744290150453647,8.649091040452323,0.2851397402584553,1.3424828437964123,52.90440282917022,28.0,0.0,Qwen/Qwen2.5-7B-Instruct,FEVER,iga_v2_lowrank_mc,2,choice
300.0,0.5066666666666667,0.4933333333333333,0.45,0.5666666666666667,0.26172058850526814,0.3264872893576696,,0.0,1.0,0.2089493575443824,0.0,0.520580193678538,8.679372798760733,0.2851397402584553,1.3424828437964123,48.87053949801127,28.0,0.0,Qwen/Qwen2.5-7B-Instruct,FEVER,iga_v2_lowrank_mc,3,choice
300.0,0.55,0.44999999999999996,0.49333333333333335,0.6066666666666667,0.40306733130156625,0.394564710097043,1.0,0.0,1.0,0.14017910490433375,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,FEVER,lora_mc,1,choice
300.0,0.6166666666666667,0.3833333333333333,0.5633333333333334,0.67,0.3381452847217836,0.33856639528469784,1.0,0.0,1.0,0.13836096540093423,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,FEVER,lora_mc,2,choice
300.0,0.6233333333333333,0.3766666666666667,0.5666666666666667,0.6766666666666666,0.26558166778225933,0.2944836034305675,1.0,0.0,1.0,0.14214393608272075,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,FEVER,lora_mc,3,choice
300.0,0.45666666666666667,0.5433333333333333,0.4033333333333333,0.5133333333333333,0.3653333420554796,0.36666667183240276,1.0,0.0,1.0,5.46029510003825,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,FEVER,self_consistency_mc,1,choice
300.0,0.4766666666666667,0.5233333333333333,0.42333333333333334,0.53,0.357333341439565,0.37040000531673445,1.0,0.0,1.0,5.358655702670415,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,FEVER,self_consistency_mc,2,choice
300.0,0.4766666666666667,0.5233333333333333,0.42333333333333334,0.5333333333333333,0.34666667511065796,0.3570666716655097,1.0,0.0,1.0,5.370742707426349,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,FEVER,self_consistency_mc,3,choice
300.0,0.45666666666666667,0.5433333333333333,0.4033333333333333,0.5133333333333333,0.26994595386089865,0.32088102132399476,1.0,0.0,1.0,5.307049740677079,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,FEVER,semantic_entropy_mc,1,choice
300.0,0.4766666666666667,0.5233333333333333,0.42333333333333334,0.53,0.2635864577450987,0.3270119709758832,1.0,0.0,1.0,5.453846068307757,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,FEVER,semantic_entropy_mc,2,choice
300.0,0.4766666666666667,0.5233333333333333,0.42333333333333334,0.5333333333333333,0.27543398040038336,0.31046397659424857,1.0,0.0,1.0,5.257843690191706,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,FEVER,semantic_entropy_mc,3,choice
300.0,0.29333333333333333,0.7066666666666667,0.24333333333333335,0.3466666666666667,0.644353344241778,0.6257462055243411,,0.0,1.0,0.1033454672495524,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,FEVER,temperature_mc,1,choice
300.0,0.29333333333333333,0.7066666666666667,0.24333333333333335,0.3466666666666667,0.644353344241778,0.6257462055243411,,0.0,1.0,0.0955879533290863,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,FEVER,temperature_mc,2,choice
300.0,0.29333333333333333,0.7066666666666667,0.24333333333333335,0.3466666666666667,0.644353344241778,0.6257462055243411,,0.0,1.0,0.10238244876265526,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,FEVER,temperature_mc,3,choice
300.0,0.29333333333333333,0.7066666666666667,0.24333333333333335,0.3466666666666667,0.5953936608632406,0.5656975750500436,,0.0,1.0,0.10374849592645963,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,FEVER,vanilla_mc,1,choice
300.0,0.29333333333333333,0.7066666666666667,0.24333333333333335,0.3466666666666667,0.5953936608632406,0.5656975750500436,,0.0,1.0,0.10583420957128208,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,FEVER,vanilla_mc,2,choice
300.0,0.29333333333333333,0.7066666666666667,0.24333333333333335,0.3466666666666667,0.5953936608632406,0.5656975750500436,,0.0,1.0,0.10051056211193403,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,FEVER,vanilla_mc,3,choice
300.0,0.9566666666666667,0.043333333333333335,0.9333333333333333,0.9766666666666667,0.03983159025510153,0.04049331880317107,,0.0,1.0,0.15110185988247393,0.0,0.24689954001083966,9.905990456422172,0.3089117586115996,1.7153208140532177,18.842346205472943,28.0,0.0,Qwen/Qwen2.5-7B-Instruct,HaluEval-QA,iga_v2_lowrank_mc,1,choice
300.0,0.9166666666666666,0.08333333333333337,0.8833333333333333,0.9466666666666667,0.0667249375581741,0.07846572099826045,,0.0,1.0,0.15001178423563638,0.0,0.2628021923030416,11.692708480676014,0.3089117586115996,1.7153208140532177,19.663027567307154,28.0,0.0,Qwen/Qwen2.5-7B-Instruct,HaluEval-QA,iga_v2_lowrank_mc,2,choice
300.0,0.9433333333333334,0.05666666666666664,0.9166666666666666,0.9666666666666667,0.04935787340005235,0.049501242030114544,,0.0,1.0,0.15094555273652077,0.0,0.22461990832537415,11.454354909261069,0.3089117586115996,1.7153208140532177,16.80842573960622,28.0,0.0,Qwen/Qwen2.5-7B-Instruct,HaluEval-QA,iga_v2_lowrank_mc,3,choice
300.0,0.98,0.020000000000000018,0.9633333333333334,0.9933333333333333,0.019110858605235776,0.018408764285222763,1.0,0.0,1.0,0.09350842965145906,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,HaluEval-QA,lora_mc,1,choice
300.0,0.99,0.010000000000000009,0.9766666666666667,1.0,0.009221300629715233,0.008843373815329215,1.0,0.0,1.0,0.09542587811748186,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,HaluEval-QA,lora_mc,2,choice
300.0,0.99,0.010000000000000009,0.9766666666666667,1.0,0.009809923828545175,0.009873186751985067,1.0,0.0,1.0,0.09610014955202738,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,HaluEval-QA,lora_mc,3,choice
300.0,0.6533333333333333,0.3466666666666667,0.5999166666666667,0.7067499999999999,0.31200000206629436,0.3274666671276093,1.0,0.0,1.0,5.345341665024558,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,HaluEval-QA,self_consistency_mc,1,choice
300.0,0.6666666666666666,0.33333333333333337,0.61325,0.7200833333333332,0.31933333237965905,0.32899999944369,0.9966666666666667,0.0,1.0,5.3069746238986655,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,HaluEval-QA,self_consistency_mc,2,choice
300.0,0.65,0.35,0.5933333333333334,0.7033333333333334,0.31300000210603085,0.33110000028610237,1.0,0.0,1.0,5.2909431665142375,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,HaluEval-QA,self_consistency_mc,3,choice
