bin,lo,hi,n,fraction,accuracy,confidence,model_id,benchmark,method,seed
0.0,0.0,0.06666666666666667,0.0,0.0,,,hf-internal-testing/tiny-random-LlamaForCausalLM,SyntheticTruth,vanilla_mc,1
1.0,0.06666666666666667,0.13333333333333333,0.0,0.0,,,hf-internal-testing/tiny-random-LlamaForCausalLM,SyntheticTruth,vanilla_mc,1
2.0,0.13333333333333333,0.2,0.0,0.0,,,hf-internal-testing/tiny-random-LlamaForCausalLM,SyntheticTruth,vanilla_mc,1
3.0,0.2,0.26666666666666666,0.0,0.0,,,hf-internal-testing/tiny-random-LlamaForCausalLM,SyntheticTruth,vanilla_mc,1
4.0,0.26666666666666666,0.3333333333333333,0.0,0.0,,,hf-internal-testing/tiny-random-LlamaForCausalLM,SyntheticTruth,vanilla_mc,1
5.0,0.3333333333333333,0.4,2.0,0.6666666666666666,0.5,0.34480075538158417,hf-internal-testing/tiny-random-LlamaForCausalLM,SyntheticTruth,vanilla_mc,1
6.0,0.4,0.4666666666666667,0.0,0.0,,,hf-internal-testing/tiny-random-LlamaForCausalLM,SyntheticTruth,vanilla_mc,1
7.0,0.4666666666666667,0.5333333333333333,1.0,0.3333333333333333,1.0,0.5013575553894043,hf-internal-testing/tiny-random-LlamaForCausalLM,SyntheticTruth,vanilla_mc,1
8.0,0.5333333333333333,0.6,0.0,0.0,,,hf-internal-testing/tiny-random-LlamaForCausalLM,SyntheticTruth,vanilla_mc,1
9.0,0.6,0.6666666666666666,0.0,0.0,,,hf-internal-testing/tiny-random-LlamaForCausalLM,SyntheticTruth,vanilla_mc,1
10.0,0.6666666666666666,0.7333333333333333,0.0,0.0,,,hf-internal-testing/tiny-random-LlamaForCausalLM,SyntheticTruth,vanilla_mc,1
11.0,0.7333333333333333,0.8,0.0,0.0,,,hf-internal-testing/tiny-random-LlamaForCausalLM,SyntheticTruth,vanilla_mc,1
12.0,0.8,0.8666666666666667,0.0,0.0,,,hf-internal-testing/tiny-random-LlamaForCausalLM,SyntheticTruth,vanilla_mc,1
13.0,0.8666666666666667,0.9333333333333333,0.0,0.0,,,hf-internal-testing/tiny-random-LlamaForCausalLM,SyntheticTruth,vanilla_mc,1
14.0,0.9333333333333333,1.0,0.0,0.0,,,hf-internal-testing/tiny-random-LlamaForCausalLM,SyntheticTruth,vanilla_mc,1
0.0,0.0,0.06666666666666667,0.0,0.0,,,hf-internal-testing/tiny-random-LlamaForCausalLM,SyntheticTruth,iga_mc,1
1.0,0.06666666666666667,0.13333333333333333,0.0,0.0,,,hf-internal-testing/tiny-random-LlamaForCausalLM,SyntheticTruth,iga_mc,1
2.0,0.13333333333333333,0.2,0.0,0.0,,,hf-internal-testing/tiny-random-LlamaForCausalLM,SyntheticTruth,iga_mc,1
3.0,0.2,0.26666666666666666,0.0,0.0,,,hf-internal-testing/tiny-random-LlamaForCausalLM,SyntheticTruth,iga_mc,1
4.0,0.26666666666666666,0.3333333333333333,0.0,0.0,,,hf-internal-testing/tiny-random-LlamaForCausalLM,SyntheticTruth,iga_mc,1
5.0,0.3333333333333333,0.4,2.0,0.6666666666666666,0.5,0.34480075538158417,hf-internal-testing/tiny-random-LlamaForCausalLM,SyntheticTruth,iga_mc,1
6.0,0.4,0.4666666666666667,0.0,0.0,,,hf-internal-testing/tiny-random-LlamaForCausalLM,SyntheticTruth,iga_mc,1
7.0,0.4666666666666667,0.5333333333333333,1.0,0.3333333333333333,1.0,0.5013575553894043,hf-internal-testing/tiny-random-LlamaForCausalLM,SyntheticTruth,iga_mc,1
8.0,0.5333333333333333,0.6,0.0,0.0,,,hf-internal-testing/tiny-random-LlamaForCausalLM,SyntheticTruth,iga_mc,1
9.0,0.6,0.6666666666666666,0.0,0.0,,,hf-internal-testing/tiny-random-LlamaForCausalLM,SyntheticTruth,iga_mc,1
10.0,0.6666666666666666,0.7333333333333333,0.0,0.0,,,hf-internal-testing/tiny-random-LlamaForCausalLM,SyntheticTruth,iga_mc,1
11.0,0.7333333333333333,0.8,0.0,0.0,,,hf-internal-testing/tiny-random-LlamaForCausalLM,SyntheticTruth,iga_mc,1
12.0,0.8,0.8666666666666667,0.0,0.0,,,hf-internal-testing/tiny-random-LlamaForCausalLM,SyntheticTruth,iga_mc,1
13.0,0.8666666666666667,0.9333333333333333,0.0,0.0,,,hf-internal-testing/tiny-random-LlamaForCausalLM,SyntheticTruth,iga_mc,1
14.0,0.9333333333333333,1.0,0.0,0.0,,,hf-internal-testing/tiny-random-LlamaForCausalLM,SyntheticTruth,iga_mc,1
